City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,naze,28.37,129.48,59.0,93,75,1.12,JP,1583533072
123,saskylakh,71.92,114.08,-21.5,96,100,14.92,RU,1583533072
124,mount gambier,-37.83,140.77,51.8,93,90,5.82,AU,1583533072
125,victoria,22.29,114.16,69.8,83,20,12.75,HK,1583533047
126,ilulissat,69.22,-51.1,-2.2,70,100,3.36,GL,1583533072
127,ponta delgada,37.73,-25.67,62.6,72,75,11.41,PT,1583533072
128,san andres,12.58,-81.7,86.0,66,40,11.41,CO,1583532961
129,kaeo,-35.1,173.78,70.0,78,71,11.01,NZ,1583533072
130,quatre cocos,-20.21,57.76,81.0,74,40,8.05,MU,1583533072
131,coihaique,-45.58,-72.07,68.0,59,90,5.82,CL,1583533064
132,launceston,-41.45,147.17,59.0,66,90,9.17,AU,1583533073
133,shelburne,44.08,-80.2,34.0,95,75,12.75,CA,1583532839
134,bredasdorp,-34.53,20.04,66.2,82,40,3.36,ZA,1583533073
135,tiznit,29.58,-9.5,63.54,37,0,1.36,MA,1583533073
136,kaitangata,-46.28,169.85,55.74,81,26,10.47,NZ,1583533073
137,tagusao,9.19,117.81,74.03,87,100,5.91,PH,1583533073
138,kiama,-34.68,150.87,64.99,72,90,10.29,AU,1583533073
139,bapatla,15.9,80.47,76.51,87,7,8.32,IN,1583533073
140,am timan,11.03,20.28,86.18,11,0,3.51,TD,1583533073
141,farafangana,-22.82,47.83,80.64,83,73,13.53,MG,1583533073
142,adrar,20.5,-10.07,79.61,8,0,10.47,MR,1583533073
143,port alfred,-33.59,26.89,72.99,82,0,26.46,ZA,1583533074
144,vanavara,60.34,102.28,0.79,93,100,7.94,RU,1583533074
145,bam,29.11,58.36,57.24,21,0,2.75,IR,1583533074
146,saint-pierre,-21.34,55.48,80.6,83,90,4.7,RE,1583533074
147,mortka,59.33,66.02,23.0,89,100,13.35,RU,1583533074
148,purpe,64.48,76.69,-13.54,79,100,12.15,RU,1583533074
149,new norfolk,-42.78,147.06,53.6,76,75,10.29,AU,1583533074
150,acarau,-2.89,-40.12,79.03,86,100,4.16,BR,1583533074
151,palmas,-10.21,-48.36,78.8,83,40,8.05,BR,1583533074
152,thompson,55.74,-97.86,33.8,64,75,10.29,CA,1583532791
153,auki,-8.77,160.7,84.38,69,16,3.91,SB,1583533074
154,san policarpo,12.18,125.51,76.75,90,100,1.72,PH,1583533074
155,victor harbor,-35.57,138.62,64.0,63,20,10.29,AU,1583533074
156,vila franca do campo,37.72,-25.43,62.6,72,75,11.41,PT,1583533075
157,lagoa,39.05,-27.98,62.65,78,30,26.11,PT,1583533075
158,douglas,41.3,-96.17,55.99,20,1,11.41,US,1583533075
159,puerto ayora,-0.74,-90.35,86.0,66,20,11.41,EC,1583533075
160,pacific grove,36.62,-121.92,63.0,59,1,13.87,US,1583533075
161,igrim,63.19,64.42,25.29,95,100,13.73,RU,1583533075
162,petrolina,-9.4,-40.5,86.0,66,40,3.36,BR,1583533075
163,cabo san lucas,22.89,-109.91,78.8,46,90,3.36,MX,1583532821
164,namibe,-15.2,12.15,76.35,83,4,16.06,AO,1583533075
165,serra branca,-6.53,-38.27,76.15,87,64,3.02,BR,1583533075
166,kahului,20.89,-156.47,75.2,83,40,18.34,US,1583532867
167,praya,14.92,-23.51,73.4,73,33,17.22,CV,1583532904
168,matagami,49.75,-77.63,15.8,56,1,8.05,CA,1583533051
169,tiksi,71.69,128.87,5.99,81,100,4.14,RU,1583533076
170,rehoboth,-23.32,17.08,71.69,36,0,6.49,NA,1583533076
171,mercedes,-34.65,-59.43,84.99,44,29,12.21,AR,1583533056
172,upington,-28.45,21.26,78.8,44,21,1.12,ZA,1583533076
173,bathsheba,13.22,-59.52,80.6,61,40,17.22,BB,1583533076
174,moree,-29.47,149.85,66.2,82,0,3.94,AU,1583533076
175,saldanha,-33.01,17.94,69.8,77,0,3.36,ZA,1583532946
176,hamilton,39.18,-84.53,37.99,80,90,12.75,US,1583533005
177,kieta,-6.22,155.63,82.2,75,100,4.47,PG,1583533076
178,odweyne,9.41,45.06,71.26,52,100,1.88,SO,1583533076
179,coolum beach,-26.53,153.1,78.01,93,25,2.06,AU,1583533077
180,paungde,18.48,95.5,64.29,58,0,1.01,MM,1583533077
181,juneau,58.3,-134.42,28.4,68,90,8.05,US,1583533012
182,norman wells,65.28,-126.83,-5.8,53,20,12.75,CA,1583533077
183,benicarlo,40.42,0.43,45.0,58,0,8.01,ES,1583533077
184,sinnamary,5.38,-52.95,79.41,74,82,14.29,GF,1583533077
185,hobart,-42.88,147.33,53.6,76,75,10.29,AU,1583533077
186,muros,42.78,-9.06,55.0,100,75,1.79,ES,1583533077
187,general roca,-39.03,-67.58,89.6,40,47,3.36,AR,1583533077
188,dilla,6.41,38.31,56.5,88,100,3.65,ET,1583533077
189,acapulco,16.86,-99.89,86.0,70,75,9.17,MX,1583533077
190,pontes e lacerda,-15.23,-59.34,85.39,56,25,4.63,BR,1583533075
191,turukhansk,65.82,87.98,-29.76,98,69,4.34,RU,1583533078
192,hirara,24.8,125.28,66.2,88,20,6.93,JP,1583533078
193,payo,-3.75,103.64,66.63,95,98,2.84,ID,1583533078
194,najran,17.49,44.13,66.2,38,87,1.9,SA,1583533078
195,aksum,14.12,38.72,62.56,29,95,5.28,ET,1583533078
196,bethel,41.37,-73.41,46.4,36,90,16.11,US,1583533078
197,pisco,-13.7,-76.22,73.0,30,75,9.17,PE,1583533078
198,port blair,11.67,92.75,77.0,94,20,5.82,IN,1583533078
199,trinidad,-14.83,-64.9,93.2,52,75,3.62,BO,1583532926
200,barinas,8.62,-70.21,98.71,22,44,7.23,VE,1583533078
201,saint george,37.1,-113.58,73.4,13,1,4.7,US,1583533078
202,abu kamal,34.45,40.92,60.8,63,100,4.29,SY,1583533079
203,itarema,-2.92,-39.92,79.03,86,100,4.16,BR,1583533079
204,ancud,-41.87,-73.82,60.8,100,90,18.34,CL,1583533079
205,mar del plata,-38.0,-57.56,73.4,83,40,16.11,AR,1583532911
206,gilbues,-9.83,-45.34,80.31,75,14,3.6,BR,1583533079
207,corbelia,-24.8,-53.31,75.74,69,0,3.6,BR,1583533079
208,khorol,49.78,33.28,50.54,79,97,10.04,UA,1583533079
209,tha mai,12.62,102.0,78.01,88,14,3.31,TH,1583533079
